 == BEGINING OF EXECUTION == 



Addresses file: 			files/addresses.txt
Frames Quantity: 			8
Page Replacement Algorithm: 	FIFO



Endereço virtual: 16916 | Endereço físico:    20 | Conteúdo: 0
Endereço virtual: 43181 | Endereço físico:   941 | Conteúdo: 0
Endereço virtual: 10559 | Endereço físico:  1087 | Conteúdo: 79
Endereço virtual:  4664 | Endereço físico:  1336 | Conteúdo: 0
Endereço virtual: 28578 | Endereço físico:  1698 | Conteúdo: 27
Endereço virtual: 59516 | Endereço físico:  1916 | Conteúdo: 0
Endereço virtual: 38912 | Endereço físico:     0 | Conteúdo: 0
Endereço virtual: 63562 | Endereço físico:   330 | Conteúdo: 62
Endereço virtual: 64846 | Endereço físico:   590 | Conteúdo: 63
Endereço virtual: 62938 | Endereço físico:   986 | Conteúdo: 61
Endereço virtual: 27194 | Endereço físico:  1082 | Conteúdo: 26
Endereço virtual: 28804 | Endereço físico:  1412 | Conteúdo: 0
Endereço virtual: 61703 | Endereço físico:  1543 | Conteúdo: 65
Endereço virtual: 10998 | Endereço físico:  2038 | Conteúdo: 10
Endereço virtual:  6596 | Endereço físico:   196 | Conteúdo: 0
Endereço virtual: 37721 | Endereço físico:   345 | Conteúdo: 0
Endereço virtual: 43430 | Endereço físico:   678 | Conteúdo: 42
Endereço virtual: 22692 | Endereço físico:   932 | Conteúdo: 0
Endereço virtual: 62971 | Endereço físico:  1275 | Conteúdo: 126
Endereço virtual: 47125 | Endereço físico:  1301 | Conteúdo: 0
Endereço virtual: 52521 | Endereço físico:  1577 | Conteúdo: 0
Endereço virtual: 34646 | Endereço físico:  1878 | Conteúdo: 33
Endereço virtual: 32889 | Endereço físico:   121 | Conteúdo: 0
Endereço virtual: 13055 | Endereço físico:   511 | Conteúdo: 191
Endereço virtual: 65416 | Endereço físico:   648 | Conteúdo: 0
Endereço virtual: 62869 | Endereço físico:  1173 | Conteúdo: 0
Endereço virtual: 57314 | Endereço físico:   994 | Conteúdo: 55
Endereço virtual: 12659 | Endereço físico:  1139 | Conteúdo: 92
Endereço virtual: 14052 | Endereço físico:  1508 | Conteúdo: 0
Endereço virtual: 32956 | Endereço físico:   188 | Conteúdo: 0
Endereço virtual: 49273 | Endereço físico:  1657 | Conteúdo: 0
Endereço virtual: 50352 | Endereço físico:  1968 | Conteúdo: 0
Endereço virtual: 49737 | Endereço físico:    73 | Conteúdo: 0
Endereço virtual: 15555 | Endereço físico:   451 | Conteúdo: 48
Endereço virtual: 47475 | Endereço físico:   627 | Conteúdo: 92
Endereço virtual: 15328 | Endereço físico:   992 | Conteúdo: 0
Endereço virtual: 34621 | Endereço físico:  1085 | Conteúdo: 0
Endereço virtual: 51365 | Endereço físico:  1445 | Conteúdo: 0
Endereço virtual: 32820 | Endereço físico:  1588 | Conteúdo: 0
Endereço virtual: 48855 | Endereço físico:  2007 | Conteúdo: 181
Endereço virtual: 12224 | Endereço físico:   192 | Conteúdo: 0
Endereço virtual:  2035 | Endereço físico:   499 | Conteúdo: 252
Endereço virtual: 60539 | Endereço físico:   635 | Conteúdo: 30
Endereço virtual: 14595 | Endereço físico:   771 | Conteúdo: 64
Endereço virtual: 13853 | Endereço físico:  1053 | Conteúdo: 0
Endereço virtual: 24143 | Endereço físico:  1359 | Conteúdo: 147
Endereço virtual: 15216 | Endereço físico:  1648 | Conteúdo: 0
Endereço virtual:  8113 | Endereço físico:  1969 | Conteúdo: 0
Endereço virtual: 22640 | Endereço físico:   112 | Conteúdo: 0
Endereço virtual: 32978 | Endereço físico:   466 | Conteúdo: 32
Endereço virtual: 39151 | Endereço físico:   751 | Conteúdo: 59
Endereço virtual: 19520 | Endereço físico:   832 | Conteúdo: 0
Endereço virtual: 58141 | Endereço físico:  1053 | Conteúdo: 0
Endereço virtual: 63959 | Endereço físico:  1495 | Conteúdo: 117
Endereço virtual: 53040 | Endereço físico:  1584 | Conteúdo: 0
Endereço virtual: 55842 | Endereço físico:  1826 | Conteúdo: 54
Endereço virtual:   585 | Endereço físico:    73 | Conteúdo: 0
Endereço virtual: 51229 | Endereço físico:   285 | Conteúdo: 0
Endereço virtual: 64181 | Endereço físico:   693 | Conteúdo: 0
Endereço virtual: 54879 | Endereço físico:   863 | Conteúdo: 151
Endereço virtual: 28210 | Endereço físico:  1074 | Conteúdo: 27
Endereço virtual: 10268 | Endereço físico:  1308 | Conteúdo: 0
Endereço virtual: 15395 | Endereço físico:  1571 | Conteúdo: 8
Endereço virtual: 12884 | Endereço físico:  1876 | Conteúdo: 0
Endereço virtual:  2149 | Endereço físico:   101 | Conteúdo: 0
Endereço virtual: 53483 | Endereço físico:   491 | Conteúdo: 58
Endereço virtual: 59606 | Endereço físico:   726 | Conteúdo: 58
Endereço virtual: 14981 | Endereço físico:   901 | Conteúdo: 0
Endereço virtual: 36672 | Endereço físico:  1088 | Conteúdo: 0
Endereço virtual: 23197 | Endereço físico:  1437 | Conteúdo: 0
Endereço virtual: 36518 | Endereço físico:  1702 | Conteúdo: 35
Endereço virtual: 13361 | Endereço físico:  1841 | Conteúdo: 0
Endereço virtual: 19810 | Endereço físico:    98 | Conteúdo: 19
Endereço virtual: 25955 | Endereço físico:   355 | Conteúdo: 88
Endereço virtual: 62678 | Endereço físico:   726 | Conteúdo: 61
Endereço virtual: 26021 | Endereço físico:   421 | Conteúdo: 0
Endereço virtual: 29409 | Endereço físico:   993 | Conteúdo: 0
Endereço virtual: 38111 | Endereço físico:  1247 | Conteúdo: 55
Endereço virtual: 58573 | Endereço físico:  1485 | Conteúdo: 0
Endereço virtual: 56840 | Endereço físico:  1544 | Conteúdo: 0
Endereço virtual: 41306 | Endereço físico:  1882 | Conteúdo: 40
Endereço virtual: 54426 | Endereço físico:   154 | Conteúdo: 53
Endereço virtual:  3617 | Endereço físico:   289 | Conteúdo: 0
Endereço virtual: 50652 | Endereço físico:   732 | Conteúdo: 0
Endereço virtual: 41452 | Endereço físico:  2028 | Conteúdo: 0
Endereço virtual: 20241 | Endereço físico:   785 | Conteúdo: 0
Endereço virtual: 31723 | Endereço físico:  1259 | Conteúdo: 250
Endereço virtual: 53747 | Endereço físico:  1523 | Conteúdo: 124
Endereço virtual: 28550 | Endereço físico:  1670 | Conteúdo: 27
Endereço virtual: 23402 | Endereço físico:  1898 | Conteúdo: 22
Endereço virtual: 21205 | Endereço físico:   213 | Conteúdo: 0
Endereço virtual: 56181 | Endereço físico:   373 | Conteúdo: 0
Endereço virtual: 57470 | Endereço físico:   638 | Conteúdo: 56
Endereço virtual: 39933 | Endereço físico:  1021 | Conteúdo: 0
Endereço virtual: 34964 | Endereço físico:  1172 | Conteúdo: 0
Endereço virtual: 24781 | Endereço físico:  1485 | Conteúdo: 0
Endereço virtual: 41747 | Endereço físico:  1555 | Conteúdo: 196
Endereço virtual: 62564 | Endereço físico:  1892 | Conteúdo: 0
Endereço virtual: 58461 | Endereço físico:    93 | Conteúdo: 0
Endereço virtual: 20858 | Endereço físico:   378 | Conteúdo: 20
Endereço virtual: 49301 | Endereço físico:   661 | Conteúdo: 0
Endereço virtual: 40572 | Endereço físico:   892 | Conteúdo: 0
Endereço virtual: 23840 | Endereço físico:  1056 | Conteúdo: 0
Endereço virtual: 35278 | Endereço físico:  1486 | Conteúdo: 34
Endereço virtual: 62905 | Endereço físico:  1721 | Conteúdo: 0
Endereço virtual: 56650 | Endereço físico:  1866 | Conteúdo: 55
Endereço virtual: 11149 | Endereço físico:   141 | Conteúdo: 0
Endereço virtual: 38920 | Endereço físico:   264 | Conteúdo: 0
Endereço virtual: 23430 | Endereço físico:   646 | Conteúdo: 22
Endereço virtual: 57592 | Endereço físico:  1016 | Conteúdo: 0
Endereço virtual:  3080 | Endereço físico:  1032 | Conteúdo: 0
Endereço virtual:  6677 | Endereço físico:  1301 | Conteúdo: 0
Endereço virtual: 50704 | Endereço físico:  1552 | Conteúdo: 0
Endereço virtual: 51883 | Endereço físico:  1963 | Conteúdo: 170
Endereço virtual: 62799 | Endereço físico:    79 | Conteúdo: 83
Endereço virtual: 20188 | Endereço físico:   476 | Conteúdo: 0
Endereço virtual:  1245 | Endereço físico:   733 | Conteúdo: 0
Endereço virtual: 12220 | Endereço físico:   956 | Conteúdo: 0
Endereço virtual: 17602 | Endereço físico:  1218 | Conteúdo: 17
Endereço virtual: 28609 | Endereço físico:  1473 | Conteúdo: 0
Endereço virtual: 42694 | Endereço físico:  1734 | Conteúdo: 41
Endereço virtual: 29826 | Endereço físico:  1922 | Conteúdo: 29
Endereço virtual: 13827 | Endereço físico:     3 | Conteúdo: 128
Endereço virtual: 27336 | Endereço físico:   456 | Conteúdo: 0
Endereço virtual: 53343 | Endereço físico:   607 | Conteúdo: 23
Endereço virtual: 11533 | Endereço físico:   781 | Conteúdo: 0
Endereço virtual: 41713 | Endereço físico:  1265 | Conteúdo: 0
Endereço virtual: 33890 | Endereço físico:  1378 | Conteúdo: 33
Endereço virtual:  4894 | Endereço físico:  1566 | Conteúdo: 4
Endereço virtual: 57599 | Endereço físico:  2047 | Conteúdo: 63
Endereço virtual:  3870 | Endereço físico:    30 | Conteúdo: 3
Endereço virtual: 58622 | Endereço físico:   510 | Conteúdo: 57
Endereço virtual: 29780 | Endereço físico:   596 | Conteúdo: 0
Endereço virtual: 62553 | Endereço físico:   857 | Conteúdo: 0
Endereço virtual:  2303 | Endereço físico:  1279 | Conteúdo: 63
Endereço virtual: 51915 | Endereço físico:  1483 | Conteúdo: 178
Endereço virtual:  6251 | Endereço físico:  1643 | Conteúdo: 26
Endereço virtual: 38107 | Endereço físico:  2011 | Conteúdo: 54
Endereço virtual: 59325 | Endereço físico:   189 | Conteúdo: 0
Endereço virtual: 61295 | Endereço físico:   367 | Conteúdo: 219
Endereço virtual: 26699 | Endereço físico:   587 | Conteúdo: 18
Endereço virtual: 51188 | Endereço físico:  1012 | Conteúdo: 0
Endereço virtual: 59519 | Endereço físico:  1151 | Conteúdo: 31
Endereço virtual:  7345 | Endereço físico:  1457 | Conteúdo: 0
Endereço virtual: 20325 | Endereço físico:  1637 | Conteúdo: 0
Endereço virtual: 39633 | Endereço físico:  2001 | Conteúdo: 0
Endereço virtual:  1562 | Endereço físico:    26 | Conteúdo: 1
Endereço virtual:  7580 | Endereço físico:   412 | Conteúdo: 0
Endereço virtual:  8170 | Endereço físico:   746 | Conteúdo: 7
Endereço virtual: 62256 | Endereço físico:   816 | Conteúdo: 0
Endereço virtual: 35823 | Endereço físico:  1263 | Conteúdo: 251
Endereço virtual: 27790 | Endereço físico:  1422 | Conteúdo: 27
Endereço virtual: 13191 | Endereço físico:  1671 | Conteúdo: 225
Endereço virtual:  9772 | Endereço físico:  1836 | Conteúdo: 0
Endereço virtual:  7477 | Endereço físico:   309 | Conteúdo: 0
Endereço virtual: 44455 | Endereço físico:   167 | Conteúdo: 105
Endereço virtual: 59546 | Endereço físico:   410 | Conteúdo: 58
Endereço virtual: 49347 | Endereço físico:   707 | Conteúdo: 48
Endereço virtual: 36539 | Endereço físico:   955 | Conteúdo: 174
Endereço virtual: 12453 | Endereço físico:  1189 | Conteúdo: 0
Endereço virtual: 49640 | Endereço físico:  1512 | Conteúdo: 0
Endereço virtual: 28290 | Endereço físico:  1666 | Conteúdo: 27
Endereço virtual: 44817 | Endereço físico:  1809 | Conteúdo: 0
Endereço virtual:  8565 | Endereço físico:   117 | Conteúdo: 0
Endereço virtual: 16399 | Endereço físico:   271 | Conteúdo: 3
Endereço virtual: 41934 | Endereço físico:   718 | Conteúdo: 40
Endereço virtual: 45457 | Endereço físico:   913 | Conteúdo: 0
Endereço virtual: 33856 | Endereço físico:  1088 | Conteúdo: 0
Endereço virtual: 19498 | Endereço físico:  1322 | Conteúdo: 19
Endereço virtual: 17661 | Endereço físico:  1789 | Conteúdo: 0
Endereço virtual: 63829 | Endereço físico:  1877 | Conteúdo: 0
Endereço virtual: 42034 | Endereço físico:    50 | Conteúdo: 41
Endereço virtual: 28928 | Endereço físico:   256 | Conteúdo: 0
Endereço virtual: 30711 | Endereço físico:   759 | Conteúdo: 253
Endereço virtual:  8800 | Endereço físico:   864 | Conteúdo: 0
Endereço virtual: 52335 | Endereço físico:  1135 | Conteúdo: 27
Endereço virtual: 38775 | Endereço físico:  1399 | Conteúdo: 221
Endereço virtual: 52704 | Endereço físico:  1760 | Conteúdo: 0
Endereço virtual: 24380 | Endereço físico:  1852 | Conteúdo: 0
Endereço virtual: 19602 | Endereço físico:   146 | Conteúdo: 19
Endereço virtual: 57998 | Endereço físico:   398 | Conteúdo: 56
Endereço virtual:  2919 | Endereço físico:   615 | Conteúdo: 217
Endereço virtual:  8362 | Endereço físico:   938 | Conteúdo: 8
Endereço virtual: 17884 | Endereço físico:  1244 | Conteúdo: 0
Endereço virtual: 45737 | Endereço físico:  1449 | Conteúdo: 0
Endereço virtual: 47894 | Endereço físico:  1558 | Conteúdo: 46
Endereço virtual: 59667 | Endereço físico:  1811 | Conteúdo: 68
Endereço virtual: 10385 | Endereço físico:   145 | Conteúdo: 0
Endereço virtual: 52782 | Endereço físico:   302 | Conteúdo: 51
Endereço virtual: 64416 | Endereço físico:   672 | Conteúdo: 0
Endereço virtual: 40946 | Endereço físico:  1010 | Conteúdo: 39
Endereço virtual: 16778 | Endereço físico:  1162 | Conteúdo: 16
Endereço virtual: 27159 | Endereço físico:  1303 | Conteúdo: 133
Endereço virtual: 24324 | Endereço físico:  1540 | Conteúdo: 0
Endereço virtual: 32450 | Endereço físico:  1986 | Conteúdo: 31
Endereço virtual:  9108 | Endereço físico:   148 | Conteúdo: 0
Endereço virtual: 65305 | Endereço físico:   281 | Conteúdo: 0
Endereço virtual: 19575 | Endereço físico:   631 | Conteúdo: 29
Endereço virtual: 11117 | Endereço físico:   877 | Conteúdo: 0
Endereço virtual: 65170 | Endereço físico:  1170 | Conteúdo: 63
Endereço virtual: 58013 | Endereço físico:  1437 | Conteúdo: 0
Endereço virtual: 61676 | Endereço físico:  1772 | Conteúdo: 0
Endereço virtual: 63510 | Endereço físico:  1814 | Conteúdo: 62
Endereço virtual: 17458 | Endereço físico:    50 | Conteúdo: 17
Endereço virtual: 54675 | Endereço físico:   403 | Conteúdo: 100
Endereço virtual:  1713 | Endereço físico:   689 | Conteúdo: 0
Endereço virtual: 55105 | Endereço físico:   833 | Conteúdo: 0
Endereço virtual: 65321 | Endereço físico:  1065 | Conteúdo: 0
Endereço virtual: 45278 | Endereço físico:  1502 | Conteúdo: 44
Endereço virtual: 26256 | Endereço físico:  1680 | Conteúdo: 0
Endereço virtual: 64198 | Endereço físico:  1990 | Conteúdo: 62
Endereço virtual: 29441 | Endereço físico:     1 | Conteúdo: 0
Endereço virtual:  1928 | Endereço físico:   392 | Conteúdo: 0
Endereço virtual: 39425 | Endereço físico:   513 | Conteúdo: 0
Endereço virtual: 32000 | Endereço físico:   768 | Conteúdo: 0
Endereço virtual: 28549 | Endereço físico:  1157 | Conteúdo: 0
Endereço virtual: 46295 | Endereço físico:  1495 | Conteúdo: 53
Endereço virtual: 22772 | Endereço físico:  1780 | Conteúdo: 0
Endereço virtual: 58228 | Endereço físico:  1908 | Conteúdo: 0
Endereço virtual: 63525 | Endereço físico:    37 | Conteúdo: 0
Endereço virtual: 32602 | Endereço físico:   346 | Conteúdo: 31
Endereço virtual: 46195 | Endereço físico:  1395 | Conteúdo: 28
Endereço virtual: 55849 | Endereço físico:   553 | Conteúdo: 0
Endereço virtual: 46454 | Endereço físico:   886 | Conteúdo: 45
Endereço virtual:  7487 | Endereço físico:  1087 | Conteúdo: 79
Endereço virtual: 33879 | Endereço físico:  1367 | Conteúdo: 21
Endereço virtual: 42004 | Endereço físico:  1556 | Conteúdo: 0
Endereço virtual:  8599 | Endereço físico:  1943 | Conteúdo: 101
Endereço virtual: 18641 | Endereço físico:   209 | Conteúdo: 0
Endereço virtual: 49015 | Endereço físico:   375 | Conteúdo: 221
Endereço virtual: 26830 | Endereço físico:   718 | Conteúdo: 26
Endereço virtual: 34754 | Endereço físico:   962 | Conteúdo: 33
Endereço virtual: 14668 | Endereço físico:  1100 | Conteúdo: 0
Endereço virtual: 38362 | Endereço físico:  1498 | Conteúdo: 37
Endereço virtual: 38791 | Endereço físico:  1671 | Conteúdo: 225
Endereço virtual:  4171 | Endereço físico:  1867 | Conteúdo: 18
Endereço virtual: 45975 | Endereço físico:   151 | Conteúdo: 229
Endereço virtual: 14623 | Endereço físico:  1055 | Conteúdo: 71
Endereço virtual: 62393 | Endereço físico:   441 | Conteúdo: 0
Endereço virtual: 64658 | Endereço físico:   658 | Conteúdo: 63
Endereço virtual: 10963 | Endereço físico:   979 | Conteúdo: 180
Endereço virtual:  9058 | Endereço físico:  1122 | Conteúdo: 8
Endereço virtual: 51031 | Endereço físico:  1367 | Conteúdo: 213
Endereço virtual: 32425 | Endereço físico:  1705 | Conteúdo: 0
Endereço virtual: 45483 | Endereço físico:  1963 | Conteúdo: 106
Endereço virtual: 44611 | Endereço físico:    67 | Conteúdo: 144
Endereço virtual: 63664 | Endereço físico:   432 | Conteúdo: 0
Endereço virtual: 54920 | Endereço físico:   648 | Conteúdo: 0
Endereço virtual:  7663 | Endereço físico:  1007 | Conteúdo: 123
Endereço virtual: 56480 | Endereço físico:  1184 | Conteúdo: 0
Endereço virtual:  1489 | Endereço físico:  1489 | Conteúdo: 0
Endereço virtual: 28438 | Endereço físico:  1558 | Conteúdo: 27
Endereço virtual: 65449 | Endereço físico:  1961 | Conteúdo: 0
Endereço virtual: 12441 | Endereço físico:   153 | Conteúdo: 0
Endereço virtual: 58530 | Endereço físico:   418 | Conteúdo: 57
Endereço virtual: 63570 | Endereço físico:   594 | Conteúdo: 62
Endereço virtual: 26251 | Endereço físico:   907 | Conteúdo: 162
Endereço virtual: 15972 | Endereço físico:  1124 | Conteúdo: 0
Endereço virtual: 35826 | Endereço físico:  1522 | Conteúdo: 34
Endereço virtual:  5491 | Endereço físico:  1651 | Conteúdo: 92
Endereço virtual: 54253 | Endereço físico:  2029 | Conteúdo: 0
Endereço virtual: 49655 | Endereço físico:   247 | Conteúdo: 125
Endereço virtual:  5868 | Endereço físico:   492 | Conteúdo: 0
Endereço virtual: 20163 | Endereço físico:   707 | Conteúdo: 176
Endereço virtual: 51079 | Endereço físico:   903 | Conteúdo: 225
Endereço virtual: 21398 | Endereço físico:  1174 | Conteúdo: 20
Endereço virtual: 32756 | Endereço físico:  1524 | Conteúdo: 0
Endereço virtual: 64196 | Endereço físico:  1732 | Conteúdo: 0
